Id	Sound	Text	Duration
102100101	100001	樱花是蔷薇科樱属几种植物的统称，在历史书中指出，樱花是“东京樱花”，亦称“日本樱花”。不过我没有见过樱花，只在书本上看到过图片。	2000
102100102	100001	他是第一个让我觉得与众不同的人类，让我有……想要触碰他的想法——当然，我不知道这个想法应不应该存在。	3000
102100103	100001	请期待我的表现。	4000
102100104	100001	人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。	5000
102100105	100001	在您没有下令的时候，我们灰鸦小队都会在基地待机。	6000
102100106	100001	露西亚随时听候您的调遣。	2000
102100107	100001	指挥官，假如有空的话要不要来做些什么？	3000
102100108	100001	构造体不会累积疲劳，但是人类会，所以希望您也能好好休息。	4000
102100109	100001	人类之间会像你和我这样吗？	5000
102100110	100001	就这样呆着也好，就这样，我们两个。	6000
102100201	100001	指挥官，在忙吗？	2000
102100202	100001	你不在的时间，我一直都在想你。	3000
102100203	100001	武士的刀，不应以刀鞘束缚，而应该以你的灵魂来约束。这个时代已经不需要武士了，但无论时代如何变迁，人都会有不能忘却的东西。	4000
102100204	100001	灰鸦小队队长，个体名是露西亚，请多指教，指挥官。	5000
102100205	100001	我会成为您的利刃，请毫不犹豫地下达命令。	6000
102100206	100001	今天也见面了，指挥官。	2000
102100207	100001	嗯，这几天和指挥官接触还蛮多呢。	3000
102100208	100001	意识海有种奇怪的变化……	4000
102100209	100001	我很高兴。	5000
102100210	100001	只要有你在，无论是怎样的未来我都无所畏惧。	6000
102100301	100001	工作要认真，指挥官。	2000
102100302	100001	我不会乱来，你别担心了。	3000
102100303	100001	只要我还没有报废，战场永远是我最后的归宿。	4000
102100304	100001	如果睡不着，就去继续战斗吧。	5000
102100305	100001	比起我，你才是更容易逞强的人吧？	6000
102100306	100001	……你贴的太近了。	2000
102100307	100001	是指挥官的话……就没有问题。	3000
102100308	100001	这好像是可以包容一切的力量。	4000
102100309	100001	放心吧，战场上我会保护你的。	5000
102100310	100001	你总能给予我无畏一切黑暗的力量。	6000
103100101	100001	我的记忆很短暂，因为不知道下一次重启会是什么时候，会不会把你忘记。	2000
103100102	100001	不用担心我们，我们会因为你而强大的。	3000
103100103	100001	我会继续努力的。	4000
103100104	100001	请您放心去休息，我会辅佐露西亚守护好基地。	5000
103100105	100001	对于基地有任何不明白的地方，可以向我咨询。	6000
103100106	100001	上次的战斗数据分析我从里先生那儿取来了，您过目一下。	2000
103100107	100001	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。	3000
103100108	100001	今天的作战也要辛苦您了，如果我能帮上您，是丽芙的荣幸。	4000
103100109	100001	露西亚是个很强大的构造体，您……也是很强大的人类。	5000
103100110	100001	人类还在地球的时候，地球是什么样的呢？	6000
103100201	100001	您是不是又熬夜看文件了？丽芙说过这样不太好的。	2000
103100202	100001	指挥官……我是丽芙……一定会帮上忙的。	3000
103100203	100001	这里有丽芙，您就放心吧，虽然我没有厉害到能独当一面，但是我也会加油的。	4000
103100204	100001	虽然不及露西亚他们，但我会追上去的。	5000
103100205	100001	里先生偶尔会盯着我看……是不是哪里做错了什么……	6000
103100206	100001	您身上还有很多值得我分析的地方。	2000
103100207	100001	欢迎，今天也要一起加油呀。	3000
103100208	100001	听见指挥官的声音我就会觉得安心。	4000
103100209	100001	如果可以，如果可能，丽芙希望有一天能陪着你看日出日落。	5000
103100210	100001	如果是和指挥官的话，亲密一点好像也是没问题的。	6000
103100301	100001	人类还在地球的时候，地球是什么样的呢？	2000
103100302	100001	新的一天开始了，指挥官。	3000
103100303	100001	今天的作战计划需要我帮忙吗？	4000
103100304	100001	我已经没有生命，又何必再惧怕死亡？	5000
103100305	100001	我是无法讨厌你的。	6000
103100306	100001	身处黑暗也无需害怕，我会带着你一起前行。	2000
103100307	100001	只要你在，我就能完全安心。	3000
103100308	100001	是遇到什么困难了吗？	4000
103100309	100001	我很喜欢你（小声）	5000
103100310	100001	关于的你的事情，我希望愈多越好。	6000
101100101	100001	所谓生命不过是周而复始的程序。	2000
101100102	100001	人类无法预测未来，却又渴望着去提前知晓未来。我曾经怀疑我们是不是在人类渴求未来的状况下被制造出来的。	3000
101100103	100001	你就是新指挥官啊……别犯蠢就好了。	4000
101100104	100001	我可不是单纯的分析型，我的战斗力也很强。	5000
101100105	100001	嗯，选择我是正确的决定。	6000
101100106	100001	听说人类晚上如果不睡觉的话，会导致毛发脱落。	2000
101100107	100001	我们是构造体，不休息也可以的。	3000
101100108	100001	你不需要太照顾我们，毕竟对我们来说你更加重要。	4000
101100109	100001	跟你相处比上一个指挥官来得轻松一点，也不是坏事~	5000
101100110	100001	好了好了，我知道我们关系很好。	6000
101100201	100001	歇一会儿吧，不然你下午的战斗能支撑得住？	2000
101100202	100001	没什么。	3000
101100203	100001	感觉还不错，希望能继续加强。	4000
101100204	100001	好好工作啊，指挥官。	5000
101100205	100001	我昨晚对感染体做了些分析，一会儿给你。	6000
101100206	100001	这不是你对着那些人类会用的招数吗？怎么全用在我身上了……	2000
101100207	100001	如果接下来的战斗你活下来了，我可以考虑再对你温和一点。	3000
101100208	100001	留在了这个部队，是我做的最正确的事情。	4000
101100209	100001	等你很久了，先陪我分析下昨天带回来的感染体标本怎么样？	5000
101100210	100001	你看上去还是能打的。	6000
101100301	100001	……看着我干什么？	2000
101100302	100001	战术和战略是不同的东西……不过我想你也不明白就是了。	3000
101100303	100001	没事做的话就去锻炼一下自己的精神能力。	4000
101100304	100001	指挥官应该不是就这样坐着的工作吧？	5000
101100305	100001	指挥官的工作室挺累的，如果你不舒服了就一定要说。	6000
101100306	100001	有什么困难一定要跟我说，别自己傻扛着。	2000
101100307	100001	嗯……其实我也并不排斥这样。	3000
101100308	100001	跟你亲近一点倒也没什么。	4000
101100309	100001	你说的话我都会记住的，无论是命令，还是其他的话。	5000
101100310	100001	放心吧，我会保护你的。	6000
104100101	100001	没有感情是好事，这样不存在背叛，也不会经历背叛。	2000
104100102	100001	背叛这种事，永远不可能发生在我身上。	3000
104100103	100001	为了达成愿望，力量也是必要的。	4000
104100104	100001	愿主保佑。	5000
104100105	100001	信仰吗？这是不知不觉的东西，请别介意。	6000
104100106	100001	我很相信你，指挥官。	2000
104100107	100001	熟能生巧，技能总归是要越熟练越好。	3000
104100108	100001	我会去做全部应做的事，因为那就是我相信的东西。	4000
104100109	100001	都到这个份上了，以后和我一起工作的话就别偷懒了哦？	5000
104100110	100001	和队伍里的其他女性相比，我被赋予了更加成熟的性格……你……觉得如何呢？	6000
104100301	100001	你也是我的信仰，指挥官。	2000
104100302	100001	至少我很愿意和你一起战斗。	3000
104100303	100001	准备工作已经做好，您可以随时展开工作。	4000
104100304	100001	您下达的命令，都是我应当要完成的事情。	5000
104100305	100001	嗯，和您相处得还算愉快。	6000
104100306	100001	要是累了就去休息，否则不要在工作的时间偷懒哦？	2000
104100307	100001	我虽然有信仰，却不会盲目祈祷——这还不如我亲自来保护你有用。	3000
104100308	100001	构造体不能有信仰吗？还是您想成为我的信仰呢？	4000
104100309	100001	信仰的力量是无可估量的，就像你给我的力量。	5000
104100310	100001	因为你，我的战斗开始变得有意义。	6000
105100101	100001	我的知识里可没有等价交换这个概念……如果你说的是对的话，我是不是要对你抱有相同的感情？	2000
105100102	100001	我最近在研究旧时人类对于交流这门技能的感悟……嗯，你成功引起了我的注意，指挥官！咦……怎么好像没用……	3000
105100103	100001	七实——驾到！我可是最强的哦？	4000
